,Location,oob_score,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_leaf_nodes,max_features,max_depth,criterion,ccp_alpha,accuracy_score,f1_score,precision_score,recall_score,test_set,test_size
0,Albury,False,200,5,4,0.8,10000,sqrt,30,log_loss,0.0,0.8696581196581197,0.6772486772486773,0.6530612244897959,0.7032967032967034,1,936
1,BadgerysCreek,False,100,10,2,0.999,10000,sqrt,20,log_loss,0.0,0.8547486033519553,0.6242774566473989,0.6467065868263473,0.6033519553072626,1,895
2,Cobar,True,50,10,4,0.8,10000,log2,30,log_loss,0.0,0.9167556029882604,0.6803278688524591,0.7094017094017094,0.6535433070866141,1,937
3,CoffsHarbour,False,50,20,15,0.8,100,log2,50,entropy,0.0,0.8157327586206896,0.7228525121555915,0.6757575757575758,0.7770034843205574,1,928
4,Moree,True,50,20,2,0.999,1000,sqrt,50,entropy,0.002,0.9148936170212766,0.7054263565891473,0.6363636363636364,0.7913043478260869,1,893
5,Newcastle,True,100,10,4,0.5,10000,log2,20,log_loss,0.0,0.7503267973856209,0.467966573816156,0.4329896907216495,0.509090909090909,1,765
6,NorahHead,True,100,10,4,0.8,1000,log2,20,gini,0.0,0.8072289156626506,0.6535433070866141,0.6613545816733067,0.6459143968871596,1,913
7,NorfolkIsland,True,200,5,4,0.999,1000,sqrt,50,gini,0.0,0.7757111597374179,0.598825831702544,0.6071428571428571,0.5907335907335908,1,914
8,Penrith,False,100,20,4,0.8,1000,sqrt,30,log_loss,0.0,0.8465723612622416,0.6356589147286822,0.615,0.6577540106951871,1,919
9,Richmond,True,200,5,4,0.5,1000,log2,20,entropy,0.0,0.8783930510314875,0.7037037037037038,0.6785714285714286,0.7307692307692307,1,921
10,Sydney,True,200,20,15,0.8,1000,log2,10,gini,0.0,0.8373253493013972,0.699815837937385,0.657439446366782,0.7480314960629921,1,1002
11,SydneyAirport,True,50,5,2,0.8,1000,sqrt,50,gini,0.0,0.8085106382978723,0.628099173553719,0.6229508196721312,0.6333333333333333,1,940
12,WaggaWagga,True,100,20,4,0.999,1000,log2,10,entropy,0.0,0.8556581986143187,0.6105919003115264,0.5568181818181818,0.6758620689655173,1,866
13,Williamtown,False,100,5,2,0.999,1000,log2,20,entropy,0.0,0.8246041412911084,0.5885714285714285,0.6094674556213018,0.569060773480663,1,821
14,Wollongong,False,200,10,4,0.999,1000,log2,50,log_loss,0.0,0.8285714285714286,0.6666666666666666,0.6753246753246753,0.6582278481012658,1,910
15,Canberra,False,200,20,2,0.8,1000,sqrt,30,log_loss,0.002,0.8441176470588235,0.6112469437652812,0.5681818181818182,0.6613756613756614,1,1020
16,Tuggeranong,False,200,10,2,0.3,10000,log2,30,entropy,0.002,0.8622174381054898,0.6483516483516483,0.6020408163265306,0.7023809523809523,1,929
17,MountGinini,False,50,5,4,0.999,10000,log2,30,entropy,0.002,0.8296639629200464,0.722117202268431,0.6655052264808362,0.7892561983471075,1,863
18,Ballarat,False,200,5,2,0.999,10000,sqrt,50,log_loss,0.0,0.8324439701173959,0.677618069815195,0.6573705179282868,0.6991525423728814,1,937
19,Bendigo,False,200,5,2,0.5,1000,sqrt,30,entropy,0.0,0.873538788522848,0.6530612244897959,0.6187845303867403,0.691358024691358,1,941
20,Sale,True,200,10,8,0.8,1000,log2,50,log_loss,0.0,0.8141025641025641,0.5139664804469274,0.4972972972972973,0.5317919075144508,1,936
21,MelbourneAirport,False,50,20,8,0.999,10000,log2,30,log_loss,0.0,0.821656050955414,0.6074766355140185,0.5579399141630901,0.6666666666666666,1,942
22,Melbourne,False,100,10,8,0.8,10000,sqrt,30,gini,0.0,0.8178484107579462,0.6443914081145584,0.5769230769230769,0.7297297297297297,1,818
23,Mildura,True,100,20,2,0.999,10000,log2,20,entropy,0.002,0.9223300970873788,0.6470588235294118,0.6111111111111112,0.6875,1,927
24,Nhil,True,200,20,2,0.8,10000,sqrt,20,log_loss,0.0,0.8862559241706162,0.6842105263157895,0.624,0.7572815533980582,1,633
25,Portland,True,50,5,8,0.999,100,log2,20,log_loss,0.0,0.8047464940668824,0.7318518518518518,0.6823204419889503,0.7891373801916933,1,927
26,Watsonia,True,50,20,4,0.999,10000,log2,10,log_loss,0.0,0.7818181818181819,0.6330935251798562,0.5714285714285714,0.7096774193548387,1,935
27,Dartmoor,True,200,20,2,0.999,100,sqrt,30,gini,0.0,0.8267543859649122,0.7366666666666667,0.7175324675324676,0.7568493150684932,1,912
28,Brisbane,False,100,20,4,0.8,10000,sqrt,20,log_loss,0.0,0.8152059134107709,0.6520874751491054,0.6456692913385826,0.6586345381526104,1,947
29,Cairns,True,100,10,8,0.999,1000,log2,20,log_loss,0.0,0.7979910714285714,0.6750448833034112,0.6460481099656358,0.706766917293233,1,896
30,GoldCoast,True,100,5,4,0.5,1000,sqrt,20,log_loss,0.0,0.8261826182618262,0.6865079365079364,0.6653846153846154,0.7090163934426229,1,909
31,Townsville,True,200,10,2,0.8,1000,sqrt,20,gini,0.0,0.886411889596603,0.6397306397306397,0.6506849315068494,0.6291390728476821,1,942
32,Adelaide,True,100,5,8,0.999,1000,sqrt,10,log_loss,0.0,0.853887399463807,0.6929577464788733,0.6373056994818653,0.7592592592592593,1,746
33,MountGambier,True,50,20,2,0.999,1000,log2,50,log_loss,0.0,0.8285101822079314,0.7297297297297296,0.6923076923076923,0.7714285714285715,1,933
34,Nuriootpa,False,200,10,2,0.8,1000,log2,20,entropy,0.0,0.8647186147186147,0.6770025839793282,0.6517412935323383,0.7043010752688172,1,924
35,Woomera,True,100,50,2,0.999,100,sqrt,30,entropy,0.002,0.9277238403451996,0.4552845528455284,0.4307692307692308,0.4827586206896552,1,927
36,Albany,True,50,20,2,0.999,10000,sqrt,20,gini,0.0,0.7937365010799136,0.6701208981001727,0.6488294314381271,0.6928571428571428,1,926
37,Witchcliffe,True,50,20,2,0.8,1000,log2,50,gini,0.0,0.8548009367681498,0.7720588235294118,0.7553956834532374,0.7894736842105263,1,854
38,PearceRAAF,True,50,5,4,0.999,10000,sqrt,30,log_loss,0.0,0.9199057714958776,0.7939393939393941,0.7797619047619048,0.808641975308642,1,849
39,PerthAirport,True,100,20,2,0.999,1000,sqrt,20,gini,0.0,0.881104033970276,0.7227722772277227,0.6636363636363637,0.7934782608695652,1,942
40,Perth,False,200,5,2,0.8,10000,sqrt,20,gini,0.0,0.917864476386037,0.7989949748743718,0.7794117647058824,0.8195876288659794,1,974
41,SalmonGums,False,50,5,2,0.8,10000,sqrt,50,gini,0.0,0.881578947368421,0.5221238938053097,0.5363636363636364,0.5086206896551724,1,912
42,Walpole,False,50,5,2,0.3,1000,sqrt,20,entropy,0.002,0.8136574074074074,0.7312186978297162,0.7064516129032258,0.7577854671280276,1,864
43,Hobart,True,100,20,4,0.8,1000,sqrt,30,entropy,0.0,0.787847579814624,0.582995951417004,0.5274725274725275,0.6515837104072398,1,971
44,Launceston,False,200,5,4,0.8,10000,log2,50,log_loss,0.0,0.8336864406779662,0.6288416075650118,0.6456310679611651,0.6129032258064516,1,944
45,AliceSprings,False,200,5,2,0.5,1000,sqrt,50,log_loss,0.002,0.9329073482428116,0.5987261146496815,0.5280898876404494,0.6911764705882353,1,939
46,Darwin,True,100,10,4,0.999,10000,sqrt,50,entropy,0.0,0.8590398365679265,0.7272727272727272,0.7159533073929961,0.7389558232931727,1,979
47,Katherine,True,50,10,4,0.8,1000,sqrt,30,log_loss,0.002,0.8730650154798761,0.6238532110091742,0.5230769230769231,0.7727272727272727,1,323
48,Uluru,False,50,20,2,0.8,1000,sqrt,10,entropy,0.0,0.9245283018867924,0.5102040816326531,0.4385964912280701,0.6097560975609756,1,636
